"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시  (1100000000)","9,331,828","9,331,828","483,780","720,767","1,308,260","1,442,665","1,383,950","1,486,068","1,326,239","773,771","355,250","49,594","1,484"
"서울특별시 종로구 (1111000000)","138,336","138,336","5,511","9,378","20,963","19,754","18,487","23,376","21,016","11,867","6,837","1,106","41"
"서울특별시 종로구 청운효자동(1111051500)","11,030","11,030","544","1,009","1,314","1,525","1,767","1,895","1,423","897","559","94","3"
"서울특별시 종로구 사직동(1111053000)","8,962","8,962","414","628","1,024","1,438","1,400","1,452","1,271","710","517","101","7"
"서울특별시 종로구 삼청동(1111054000)","2,219","2,219","81","155","239","286","307","336","380","253","151","31","0"
"서울특별시 종로구 부암동(1111055000)","9,051","9,051","370","769","1,044","1,203","1,334","1,620","1,389","784","446","90","2"
"서울특별시 종로구 평창동(1111056000)","17,251","17,251","939","1,511","1,909","2,050","2,405","3,104","2,826","1,481","828","186","12"
"서울특별시 종로구 무악동(1111057000)","7,839","7,839","498","919","793","815","1,245","1,408","1,103","619","384","52","3"
"서울특별시 종로구 교남동(1111058000)","9,552","9,552","714","734","1,062","1,421","1,623","1,638","1,192","737","381","50","0"
"서울특별시 종로구 가회동(1111060000)","3,778","3,778","152","303","374","513","588","672","546","366","225","38","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,668","6,668","149","212","948","992","845","1,057","1,305","725","380","51","4"
"서울특별시 종로구 종로5.6가동(1111063000)","5,294","5,294","139","189","1,076","947","571","814","805","465","254","34","0"
"서울특별시 종로구 이화동(1111064000)","7,009","7,009","161","332","1,545","1,259","793","1,002","930","584","349","54","0"
"서울특별시 종로구 혜화동(1111065000)","15,822","15,822","471","1,157","4,266","2,049","1,823","2,328","1,737","1,105","766","114","6"
"서울특별시 종로구 창신제1동(1111067000)","4,495","4,495","100","161","560","601","456","802","1,022","511","253","29","0"
"서울특별시 종로구 창신제2동(1111068000)","7,333","7,333","147","311","877","903","741","1,565","1,557","775","405","52","0"
"서울특별시 종로구 창신제3동(1111069000)","6,231","6,231","270","395","761","911","781","1,123","1,101","554","288","46","1"
