,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
518,보라매공원,다목적구장,벤치프레스,6,보라매공원-3(다목적구장)-1,동부공원녹지사업소
509,보라매공원,와우산,역기올리기,5,보라매공원-2(와우산)-3,동부공원녹지사업소
511,보라매공원,와우산,공중걷기,5,보라매공원-2(와우산)-5,동부공원녹지사업소
706,천호공원,헬스장,역기,4,천호공원-6(헬스장)-1,동부공원녹지사업소
547,보라매공원,배드민턴장,윗몸일으키기,3,보라매공원-7(배드민턴장)-2,동부공원녹지사업소
535,보라매공원,신길변전소 뒤,윗몸일으키기,3,보라매공원-5(신길변전소 뒤)-1,동부공원녹지사업소
524,보라매공원,다목적구장,평행봉,3,보라매공원-3(다목적구장)-7,동부공원녹지사업소
496,보라매공원,북동산,파도타기,2,보라매공원-1(북동산)-1,동부공원녹지사업소
497,보라매공원,북동산,오금펴기,2,보라매공원-1(북동산)-2,동부공원녹지사업소
568,서울숲공원,체육공원,등 허리 지압기,2,서울숲공원-1(체육공원)-16,동부공원녹지사업소
500,보라매공원,북동산,줄당기기,2,보라매공원-1(북동산)-5,동부공원녹지사업소
569,서울숲공원,체육공원,양팔 로프 당기기,2,서울숲공원-1(체육공원)-17,동부공원녹지사업소
502,보라매공원,북동산,허리돌리기,2,보라매공원-1(북동산)-7,동부공원녹지사업소
503,보라매공원,북동산,등허리 근육풀기,2,보라매공원-1(북동산)-8,동부공원녹지사업소
530,보라매공원,독서쉼터,트윈트위스트,2,보라매공원-4(독서쉼터)-2,동부공원녹지사업소
587,서울숲공원,작은동물의집,역기,2,서울숲공원-3(작은동물의집)-10,동부공원녹지사업소
532,보라매공원,독서쉼터,공중걷기,2,보라매공원-4(독서쉼터)-4,동부공원녹지사업소
507,보라매공원,와우산,허리돌리기,2,보라매공원-2(와우산)-1,동부공원녹지사업소
508,보라매공원,와우산,평행봉,2,보라매공원-2(와우산)-2,동부공원녹지사업소
548,보라매공원,배드민턴장,허리돌리기,2,보라매공원-7(배드민턴장)-3,동부공원녹지사업소
513,보라매공원,와우산,어깨돌리기,2,보라매공원-2(와우산)-7,동부공원녹지사업소
514,보라매공원,와우산,물결타기,2,보라매공원-2(와우산)-8,동부공원녹지사업소
