운동기구 기종명,운동기구 수량
1단 철봉,1
2단철봉,2
2인용체어풀,1
3단 철봉,2
3단철봉,4
TA2010,1
가슴 운동,1
가슴운동,1
개량평행봉,1
거꾸로매달리기,6
거꾸로메달리기,1
거꾸리,12
계단오르기,3
공중,1
공중 걷기,1
공중+상체근육풀기,1
공중걷기,106
공중회전,4
구름걷기,1
구름다리,1
구부려 근육펴기,1
규형잡기,1
균형잡기,2
근육스트레칭,1
근육풀기,2
기종명- 미상,2
꺼구로매달리기,1
노젓기,4
노젓기 운동,1
노젓기운동,2
노젖기운동,1
다리 근력 운동,1
다리 근육풀기,1
다리 뻗치기,1
다리근력운동,2
다리근육풀기,3
다리근육풀기운동기구,1
다리들어올리기,3
다리밀기,3
다리벌리기,1
다리뻗치기,2
다리뼏기,1
다리스트레칭,5
다리올리기,2
다리운동기,1
다리지압기,4
다리펴기,8
다리풀기,1
달리기,14
달리기 운동,1
달리기운동,7
달리기운동기구,1
등 지압기,4
등 허리 지압기,2
등.허리지압기,1
등근육풀기,1
등지압 운동,1
등지압기,2
등지압운동기구,1
등치기,4
등펴기,2
등허리 근육풀기,2
등허리 마사지기,2
등허리 젖히기,1
등허리 제치기,1
등허리 지압기,5
등허리+달리기,1
등허리근육풀기,2
등허리운동기구,2
등허리지압,50
등허리지압+마라톤,1
등허리지압기,1
등허리지압운동,2
등허리펴기,11
랫풀다운,1
런닝트레이너머신,1
레그 스트레칭,1
레그 익스텐션,1
레그 프레스,1
레그스쿼트,1
레그스트레치,5
레그스트레치머신,1
레그스프레이,1
레그익스덴션,1
레그익스테이션,1
레그익스텐션,7
레그프레스,50
레그프레스(주니어),1
레스트레치,1
레크익스텐션머신,1
로라마사지머신,1
로라맛사지,1
로프 당기기,2
로프달리기,1
로프당기기,2
롤링웨이스트,6
림보,1
림보게이트,1
링운동,1
링운동기구,2
마라톤(주니어),1
마라톤+공중걷기,1
마라톤기구,18
마라톤운동,14
마라톤운동기구,16
말타기,1
매달려 건너기,1
매달려 다리올리기,1
매달려건너기,1
매달려온몸회전하기,2
매달리기,4
매달리기(주니어),1
멀리뛰기,1
몸 젖히기,1
몸젖히기,1
무게조절 역기,1
무릎오금펴기,1
무릎펴서 걷기,2
물결타기,2
물구나무서기,1
바디싣업,1
발목걸어 거꾸리,1
발바닥 마사지기,1
버터 플라이,2
버터플라이,3
버터플라이머신,1
벤치 프레스,2
벤치프레스,9
복근운동,1
복무강화운동,1
복부 강화 운동,1
삼단철봉,2
상체 원 그리기,1
상체굽히기,1
상체근육풀기,40
상체근육풀기2,1
상체스윙,1
상체스윙운동,1
상체운동,1
서핑롤링,1
솔더프레스,1
쇼울러프레스,1
숄더,1
숄더프레스머신,2
스윙암스,1
스윙워커,2
스쿼드,1
스쿼드머신,1
스쿼트,1
스탠딩 레그컬,1
스탱딩레그컬,1
스텐딩레그걸,1
스텝 사이클,1
스텝달리기,1
스텝사이클,11
스트레칭 벤치,2
스트레칭로라,4
스트레칭롤라,1
스트레칭머신,1
스트레칭울러,1
시티드 체스트 프레스,1
시티드레그프레스,1
시티드체스트프레스,1
시티체스트프레스,1
싣업,3
싣업머신,3
실외걷기,1
싸이클,9
싸이클(입식),2
싸이클(좌식),2
싸이클링,2
써핑롤링머신,2
안마,2
앉아무릎펴기,1
암컬,2
암컬머신,1
양줄당기기,1
양팔 로프 당기기,2
양팔 줄당기기,3
양팔돌리기,7
양팔돌리기(작은바퀴),1
양팔돌리기(큰바퀴),1
양팔로프당기기,1
양팔줄+하체흔들기,1
양팔줄다리가,1
양팔줄다리기,1
양팔줄당기기,50
양팔중당기기,1
어깨 근육풀기,1
어깨 유연성 운동,2
어깨근육 풀기,1
어깨근육풀기,12
어깨돌리기,2
어깨유연성운동,1
어께근육풀기,2
어께유연성운동,1
업도미널,3
에어워킹머신,1
역 기,2
역기,44
역기 밀어올리기,1
역기 올리기,1
역기(10kg),22
역기(15kg),9
역기(17.5kg),1
역기(20kg),2
역기(5kg),4
역기(7.5kg),1
역기10,2
